code,code_digits,slug,name_fr,name_ar,type,region_code,province_code,cercle_code,population_2024,households_2024,population_2014,change_pct,area_km2,density_2024
01.151.05.13,011510513,laghdir,Laghdir,لغدير,rural,01,01.151,01.151.05,6454,1526,7284,-11.39,111.1,58.09
01.151.11.05,011511105,bni-selmane,Bni Selmane,بني سلمان,rural,01,01.151,01.151.11,21413,3958,24217,-11.58,206.35,103.77
01.151.11.03,011511103,bni-mansour,Bni Mansour,بني منصور,rural,01,01.151,01.151.11,16660,3154,20811,-19.95,159.99,104.13
01.151.07.01,011510701,bni-bouzra,Bni Bouzra,بني بوزرة,rural,01,01.151,01.151.07,15888,3363,16568,-4.1,152.95,103.88
01.151.07.07,011510707,steha,Steha,اسطيحة,rural,01,01.151,01.151.07,11452,2432,12034,-4.84,90.03,127.2
01.151.07.13,011510713,tizgane,Tizgane,تزكان,rural,01,01.151,01.151.07,12292,2804,12773,-3.77,81.93,150.04
01.151.07.11,011510711,tassift,Tassift,تاسيفت,rural,01,01.151,01.151.07,6924,1459,7363,-5.96,208.19,33.26
01.151.07.09,011510709,talambote,Talambote,تلمبوط,rural,01,01.151,01.151.07,8007,1598,8481,-5.59,162.45,49.29
01.405.01.09,014050109,ouezzane,Ouezzane,وزان,urban,01,01.405,,57737,16266,59606,-3.14,19.23,3002.42
01.405.07.07,014050707,mzefroune,Mzefroune,امزفرون,rural,01,01.405,01.405.07,6226,1798,6973,-10.71,95.29,65.34
01.405.07.05,014050705,masmouda,Masmouda,مصمودة,rural,01,01.405,01.405.07,14594,4006,16106,-9.39,143.88,101.43
01.405.07.15,014050715,sidi-redouane,Sidi Redouane,سيدي رضوان,rural,01,01.405,01.405.07,17903,5124,19169,-6.6,116.05,154.27
01.405.07.01,014050701,bni-quolla,Bni Quolla,بني كلة,rural,01,01.405,01.405.07,13551,3752,16049,-15.56,185.89,72.9
01.405.13.17,014051317,teroual,Teroual,تروال,rural,01,01.405,01.405.13,11673,3322,12621,-7.51,61.6,189.48
01.405.13.19,014051319,zghira,Zghira,ازغيرة,rural,01,01.405,01.405.13,13415,3637,15503,-13.47,57.53,233.17
01.405.13.09,014051309,ouannana,Ouannana,ونانة,rural,01,01.405,01.405.13,12123,3185,12801,-5.3,74.37,163.02
01.405.13.03,014051303,lamjaara,Lamjaara,لمجاعرة,rural,01,01.405,01.405.13,19162,4579,18820,1.82,94.38,203.03
01.405.13.11,014051311,sidi-ahmed-cherif,Sidi Ahmed Cherif,سيدي أحمد الشريف,rural,01,01.405,01.405.13,7913,2171,9576,-17.37,69.03,114.63
01.405.13.13,014051313,sidi-bousber,Sidi Bousber,سيدي بوصبر,rural,01,01.405,01.405.13,9671,2696,10528,-8.14,64.42,150.13
01.405.09.05,014050905,brikcha,Brikcha,ابريكشة,rural,01,01.405,01.405.09,8777,2508,10399,-15.6,143.04,61.36
01.405.09.03,014050903,asjen,Asjen,اسجن,rural,01,01.405,01.405.09,11479,3048,13139,-12.63,172.8,66.43
01.405.09.09,014050909,moqrissat,Moqrissat,مقريصات,rural,01,01.405,01.405.09,9413,2585,10545,-10.73,221.09,42.58
